,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
161,1165,1,1,Noasca,Torino,Piemonte,110,TO,0.0888743899502059,0.16040703654289246
162,1166,1,1,Nole,Torino,Piemonte,6829,TO,0.05757955859018087,0.7390999794006348
163,1167,1,1,Nomaglio,Torino,Piemonte,295,TO,0.07698246595762497,0.5986318588256836
164,1168,1,1,None,Torino,Piemonte,7969,TO,0.04348192172853352,0.8060190081596375
165,1169,1,1,Novalesa,Torino,Piemonte,528,TO,0.09788825633140615,0.3161623328924179
166,1170,1,1,Oglianico,Torino,Piemonte,1455,TO,0.032661258423183036,0.8084811866283417
167,1171,1,1,Orbassano,Torino,Piemonte,23284,TO,0.06484002418863552,0.8479593396186829
168,1172,1,1,Orio Canavese,Torino,Piemonte,764,TO,0.09610538400384545,0.723479151725769
169,1173,1,1,Osasco,Torino,Piemonte,1167,TO,0.018814890392050154,0.8087981045246124
170,1174,1,1,Osasio,Torino,Piemonte,912,TO,0.012320013259055027,0.7991451621055603
171,1175,1,1,Oulx,Torino,Piemonte,3319,TO,0.07750990971870864,0.351658433675766
172,1176,1,1,Ozegna,Torino,Piemonte,1181,TO,0.0279463228240873,0.812133401632309
173,1177,1,1,Palazzo Canavese,Torino,Piemonte,851,TO,0.07001861708682185,0.7250122129917145
174,1178,1,1,Pancalieri,Torino,Piemonte,2038,TO,0.018937236309085427,0.7802838087081909
175,1179,1,1,Parella,Torino,Piemonte,417,TO,0.04260538964183695,0.7168741822242737
176,1180,1,1,Pavarolo,Torino,Piemonte,1116,TO,0.05339851266949864,0.7313005924224854
177,1181,1,1,Pavone Canavese,Torino,Piemonte,3749,TO,0.05940812451697351,0.7996441125869751
178,1183,1,1,Pecetto Torinese,Torino,Piemonte,4083,TO,0.07732566844357698,0.7901395559310913
179,1184,1,1,Perosa Argentina,Torino,Piemonte,3176,TO,0.10191352568555061,0.41436126828193665
180,1185,1,1,Perosa Canavese,Torino,Piemonte,526,TO,0.049146940659563425,0.7729793787002563
181,1186,1,1,Perrero,Torino,Piemonte,626,TO,0.07623316654628208,0.2133757770061493
182,1187,1,1,Pertusio,Torino,Piemonte,748,TO,0.05402054248860434,0.7160209715366364
183,1188,1,1,Pessinetto,Torino,Piemonte,616,TO,0.0387385707282891,0.5109347701072693
184,1189,1,1,Pianezza,Torino,Piemonte,15448,TO,0.016426236159678625,0.8521230220794678
185,1190,1,1,Pinasca,Torino,Piemonte,2894,TO,0.09397599023131559,0.42237721383571625
