,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
146,1149,1,1,Meana di Susa,Torino,Piemonte,824,TO,83.06570951775865,1150.7201538085938
147,1150,1,1,Mercenasco,Torino,Piemonte,1253,TO,2.8334917208637878,1434.5194091796875
148,1152,1,1,Mezzenile,Torino,Piemonte,763,TO,78.07084702223634,1239.293212890625
149,1153,1,1,Mombello di Torino,Torino,Piemonte,381,TO,2.89580788587416,1416.0743408203125
150,1154,1,1,Mompantero,Torino,Piemonte,645,TO,33.68378803317394,1444.9290771484375
151,1155,1,1,Monastero di Lanzo,Torino,Piemonte,335,TO,45.46384958349718,1362.7477416992188
152,1156,1,1,Moncalieri,Torino,Piemonte,56737,TO,5.952953122717473,1422.2835693359375
153,1157,1,1,Moncenisio,Torino,Piemonte,32,TO,33.74928220546048,1395.9855346679688
154,1158,1,1,Montaldo Torinese,Torino,Piemonte,711,TO,5.336109228755905,1412.7869873046875
155,1159,1,1,Montalenghe,Torino,Piemonte,992,TO,4.002302579200072,1444.198486328125
156,1160,1,1,Montalto Dora,Torino,Piemonte,3373,TO,9.824558123546957,1396.7159423828125
157,1161,1,1,Montanaro,Torino,Piemonte,5191,TO,1.5830074183126868,1438.7197265625
158,1162,1,1,Monteu da Po,Torino,Piemonte,834,TO,9.897067300320694,1404.75146484375
159,1163,1,1,Moriondo Torinese,Torino,Piemonte,851,TO,5.390848217419932,1416.2568969726562
160,1164,1,1,Nichelino,Torino,Piemonte,46957,TO,4.95920060228229,1429.9537353515625
161,1165,1,1,Noasca,Torino,Piemonte,110,TO,190.5524882572669,1404.02099609375
162,1166,1,1,Nole,Torino,Piemonte,6829,TO,5.579971025345158,1431.4146728515625
163,1167,1,1,Nomaglio,Torino,Piemonte,295,TO,22.428384389649004,1382.4713134765625
164,1168,1,1,None,Torino,Piemonte,7969,TO,3.628064650263706,1453.5123901367188
165,1169,1,1,Novalesa,Torino,Piemonte,528,TO,80.60894960257052,1360.1910400390625
166,1170,1,1,Oglianico,Torino,Piemonte,1455,TO,5.349005525128988,1441.2764892578125
167,1171,1,1,Orbassano,Torino,Piemonte,23284,TO,4.9240930635752544,1447.4857177734375
168,1172,1,1,Orio Canavese,Torino,Piemonte,764,TO,4.3412969276739535,1443.833251953125
169,1173,1,1,Osasco,Torino,Piemonte,1167,TO,3.4811885886050904,1445.2943115234375
170,1174,1,1,Osasio,Torino,Piemonte,912,TO,0.8368870541355335,1445.2943115234375
171,1175,1,1,Oulx,Torino,Piemonte,3319,TO,117.89652770965746,1462.8262939453125
172,1176,1,1,Ozegna,Torino,Piemonte,1181,TO,2.1072055460890233,1446.7552490234375
173,1177,1,1,Palazzo Canavese,Torino,Piemonte,851,TO,3.4187370984018277,1426.48388671875
174,1178,1,1,Pancalieri,Torino,Piemonte,2038,TO,1.9914254337129107,1446.3900146484375
175,1179,1,1,Parella,Torino,Piemonte,417,TO,5.415556206791794,1404.02099609375
176,1180,1,1,Pavarolo,Torino,Piemonte,1116,TO,10.05168481491077,1399.6380615234375
177,1181,1,1,Pavone Canavese,Torino,Piemonte,3749,TO,6.210227336579825,1423.013916015625
178,1183,1,1,Pecetto Torinese,Torino,Piemonte,4083,TO,7.29039898267816,1420.822509765625
179,1184,1,1,Perosa Argentina,Torino,Piemonte,3176,TO,90.8174910953288,1373.3399658203125
180,1185,1,1,Perosa Canavese,Torino,Piemonte,526,TO,9.573323394407646,1423.7445068359375
181,1186,1,1,Perrero,Torino,Piemonte,626,TO,130.49529796633195,1255.3642578125
182,1187,1,1,Pertusio,Torino,Piemonte,748,TO,7.428178567255887,1409.864990234375
183,1188,1,1,Pessinetto,Torino,Piemonte,616,TO,39.20964522382693,1346.859375
184,1189,1,1,Pianezza,Torino,Piemonte,15448,TO,2.951893192203725,1447.1204833984375
185,1190,1,1,Pinasca,Torino,Piemonte,2894,TO,37.35533331542165,1340.467529296875
186,1191,1,1,Pinerolo,Torino,Piemonte,35695,TO,25.307716230705154,1440.9111938476562
187,1192,1,1,Pino Torinese,Torino,Piemonte,8413,TO,13.625816645979242,1415.34375
188,1193,1,1,Piobesi Torinese,Torino,Piemonte,3880,TO,3.084436299680083,1441.6417236328125
189,1194,1,1,Piossasco,Torino,Piemonte,18167,TO,35.93599381735618,1445.2943115234375
