cod_com,den_com,sigla,cod_prov,den_prov,cod_reg,den_reg,pop
3001,Agrate Conturbia,NO,3,Novara,1,Piemonte,1563
3002,Ameno,NO,3,Novara,1,Piemonte,953
3006,Armeno,NO,3,Novara,1,Piemonte,2155
3008,Arona,NO,3,Novara,1,Piemonte,13788
3012,Barengo,NO,3,Novara,1,Piemonte,758
3016,Bellinzago Novarese,NO,3,Novara,1,Piemonte,9515
3018,Biandrate,NO,3,Novara,1,Piemonte,1284
3019,Boca,NO,3,Novara,1,Piemonte,1135
3021,Bogogno,NO,3,Novara,1,Piemonte,1266
3022,Bolzano Novarese,NO,3,Novara,1,Piemonte,1164
3023,Borgolavezzaro,NO,3,Novara,1,Piemonte,1992
3024,Borgomanero,NO,3,Novara,1,Piemonte,21280
3025,Borgo Ticino,NO,3,Novara,1,Piemonte,5175
3026,Briga Novarese,NO,3,Novara,1,Piemonte,2797
3027,Briona,NO,3,Novara,1,Piemonte,1116
3030,Caltignaga,NO,3,Novara,1,Piemonte,2470
3032,Cameri,NO,3,Novara,1,Piemonte,10809
3036,Carpignano Sesia,NO,3,Novara,1,Piemonte,2501
3037,Casalbeltrame,NO,3,Novara,1,Piemonte,978
3039,Casaleggio Novara,NO,3,Novara,1,Piemonte,910
3040,Casalino,NO,3,Novara,1,Piemonte,1497
3041,Casalvolone,NO,3,Novara,1,Piemonte,884
3042,Castellazzo Novarese,NO,3,Novara,1,Piemonte,318
3043,Castelletto sopra Ticino,NO,3,Novara,1,Piemonte,9745
3044,Cavaglietto,NO,3,Novara,1,Piemonte,389
3045,Cavaglio d'Agogna,NO,3,Novara,1,Piemonte,1172
3047,Cavallirio,NO,3,Novara,1,Piemonte,1312
3049,Cerano,NO,3,Novara,1,Piemonte,6693
3051,Colazza,NO,3,Novara,1,Piemonte,466
3052,Comignago,NO,3,Novara,1,Piemonte,1242
3055,Cressa,NO,3,Novara,1,Piemonte,1599
3058,Cureggio,NO,3,Novara,1,Piemonte,2583
3060,Divignano,NO,3,Novara,1,Piemonte,1380
3062,Dormelletto,NO,3,Novara,1,Piemonte,2527
3065,Fara Novarese,NO,3,Novara,1,Piemonte,2018
3066,Fontaneto d'Agogna,NO,3,Novara,1,Piemonte,2610
3068,Galliate,NO,3,Novara,1,Piemonte,15565
3069,Garbagna Novarese,NO,3,Novara,1,Piemonte,1424
3070,Gargallo,NO,3,Novara,1,Piemonte,1756
3073,Ghemme,NO,3,Novara,1,Piemonte,3441
3076,Gozzano,NO,3,Novara,1,Piemonte,5518
3077,Granozzo con Monticello,NO,3,Novara,1,Piemonte,1340
3079,Grignasco,NO,3,Novara,1,Piemonte,4365
3082,Invorio,NO,3,Novara,1,Piemonte,4307
3083,Landiona,NO,3,Novara,1,Piemonte,548
3084,Lesa,NO,3,Novara,1,Piemonte,2189
3088,Maggiora,NO,3,Novara,1,Piemonte,1630
3090,Mandello Vitta,NO,3,Novara,1,Piemonte,222
3091,Marano Ticino,NO,3,Novara,1,Piemonte,1620
3093,Massino Visconti,NO,3,Novara,1,Piemonte,1102
3095,Meina,NO,3,Novara,1,Piemonte,2426
3097,Mezzomerico,NO,3,Novara,1,Piemonte,1226
3098,Miasino,NO,3,Novara,1,Piemonte,785
3100,Momo,NO,3,Novara,1,Piemonte,2465
3103,Nebbiuno,NO,3,Novara,1,Piemonte,1791
3104,Nibbiola,NO,3,Novara,1,Piemonte,818
3106,Novara,NO,3,Novara,1,Piemonte,103287
3108,Oleggio,NO,3,Novara,1,Piemonte,14157
3109,Oleggio Castello,NO,3,Novara,1,Piemonte,2166
3112,Orta San Giulio,NO,3,Novara,1,Piemonte,1328
3114,Paruzzaro,NO,3,Novara,1,Piemonte,2156
3115,Pella,NO,3,Novara,1,Piemonte,924
3116,Pettenasco,NO,3,Novara,1,Piemonte,1344
3119,Pisano,NO,3,Novara,1,Piemonte,814
3120,Pogno,NO,3,Novara,1,Piemonte,1372
3121,Pombia,NO,3,Novara,1,Piemonte,2120
