,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,mean,std,median
1207,7068,7,2,Valgrisenche,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,196,AO,0.545639442414826,0.44538587822785164,0.42500001192092896
1208,7069,7,2,Valpelline,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,618,AO,0.9966304310314034,1.2612205390649371,0.5449999570846558
1209,7070,7,2,Valsavarenche,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,175,AO,0.4091666649011048,0.07955010911550095,0.39499998092651367
1210,7071,7,2,Valtournenche,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,2255,AO,1.0492964048763949,1.6057086428963538,0.5549999475479126
1211,7072,7,2,Verrayes,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1264,AO,1.6537218127483713,1.3755158694577376,1.1449999809265137
1212,7073,7,2,Verrès,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,2577,AO,6.170700069665909,6.08997572383553,3.4075000286102295
1213,7074,7,2,Villeneuve,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,1259,AO,5.1306730680740795,5.137401679314809,2.7200000286102295
1214,8001,8,7,Airole,Imperia,Liguria,348,IM,0.9817682937151049,1.120146534789715,0.5625
1215,8002,8,7,Apricale,Imperia,Liguria,590,IM,0.6577981639345851,0.4750052819746542,0.48499998450279236
1216,8003,8,7,Aquila d'Arroscia,Imperia,Liguria,155,IM,0.6609259236741949,0.40487089250045855,0.48499999940395355
1217,8004,8,7,Armo,Imperia,Liguria,117,IM,0.545086205519479,0.30010844369324413,0.4124999940395355
1218,8005,8,7,Aurigo,Imperia,Liguria,335,IM,0.9176923065231397,0.7914898622060498,0.5750000178813934
1219,8006,8,7,Badalucco,Imperia,Liguria,1078,IM,1.0115909044715492,1.421796726963489,0.4424999952316284
